device,category,priority_group,priority,priority_score,case_count,occurrences,study_new_129_cases,study_blinded_88_cases,matched_forms_top
Echelon 10 microcatheter,microcatheter,named support device,P1: immediate priority,89.5,29,44,15,14,Echelon 10 (33); echelon 10 (5); Echelon (4); echelon (1); Echelon10 (1)
Onyx 18/34 liquid embolic,liquid embolic,named therapeutic device,P2: near-term priority,122.5,24,72,17,7,Onyx 18 (37); Onyx (29); Onyx 34 (2); Onyx18 (2); onyx (2)
Wallstent carotid stent,carotid stent,named therapeutic device,P2: near-term priority,76.7,15,17,9,6,Wallstent (14); wallstent (2); WALLSTENT (1)
RIST guide/select catheter,guide catheter,named support device,P2: near-term priority,65.5,21,33,21,0,RIST (25); Rist (8)
Solitaire stent retriever,stent retriever,named therapeutic device,P2: near-term priority,61.7,12,17,10,2,Solitaire X (10); Solitaire (5); solitaire (2)
Scepter XC balloon catheter,balloon catheter,named therapeutic/support device,P2: near-term priority,58.0,14,20,11,3,scepter XC (8); scepter (5); XC balloon (5); Scepter XC (2)
Optima coils,coil,named therapeutic device,P2: near-term priority,57.5,11,52,8,3,Optima (27); complex-MX (10); optima (4); Complex MX (4); Complex mx (3); complex mx (3); Complex-MX (1)
Walrus balloon guide catheter,balloon guide catheter,named support device,P2: near-term priority,56.3,18,23,18,0,walrus (13); Walrus (10)
Bentson wire,guidewire,named support device,P2: near-term priority,52.7,17,17,2,15,Bentson wire (17)
n-BCA / TruFill liquid embolic,liquid embolic,named therapeutic device,P2: near-term priority,52.5,10,31,2,8,N-BCA (13); n-BCA (11); nBCA (4); n-bca (1); N-bca (1); NBCA (1)
Sterling angioplasty balloon,angioplasty balloon,named therapeutic/support device,P2: near-term priority,46.1,11,21,6,5,Sterling balloon (10); Boston Scientific Sterling balloon (8); STERLING BALLOON (2); sterling balloon (1)
Excelsior SL-10 microcatheter,microcatheter,named support device,P2: near-term priority,43.7,14,17,8,6,SL 10 (12); SL10 (4); SL-10 (1)
Envoy guide catheter,guide catheter,named support device,P2: near-term priority,41.0,13,20,3,10,Envoy (20)
Cerebase DA guide sheath,guide sheath,named support device,P2: near-term priority,31.0,10,10,0,10,Cerebase (9); cerebase (1)
Pipeline flow diverter,flow diverter,named therapeutic device,P3: track and fill when category is active,42.5,8,39,5,3,pipeline (29); Pipeline (6); pipeline vantage (2); pipeline shield (1); pipeline flex (1)
Headway Duo microcatheter,microcatheter,named support device,P3: track and fill when category is active,25.1,8,11,7,1,headway duo (7); Headway Duo (3); headway (1)
Berenstein catheter,diagnostic catheter,named support device,P3: track and fill when category is active,21.7,7,7,2,5,Berenstein catheter (6); berenstein catheter (1)
Zoom 14 support wire,guidewire,named support device,P3: track and fill when category is active,18.6,6,6,3,3,Zoom 14 support wire (6)
Eclipse balloon,balloon catheter,named therapeutic/support device,P3: track and fill when category is active,17.3,4,13,4,0,Eclipse balloon (12); eclipse balloon (1)
Target coils,coil,named therapeutic device,P3: track and fill when category is active,15.9,3,9,2,1,Target 360 (5); Target XL (4)
EmboTrap stent retriever,stent retriever,named therapeutic device,P3: track and fill when category is active,15.5,3,5,1,2,Embotrap (5)
Onyx Frontier stent,stent,named therapeutic device,P3: track and fill when category is active,15.3,3,3,3,0,Onyx frontier (2); Onyx Frontier (1)
Marathon microcatheter,microcatheter,named support device,P3: track and fill when category is active,13.1,4,11,2,2,Marathon (8); marathon (3)
Carrier catheter,intermediate catheter,named support device,P3: track and fill when category is active,12.8,4,8,4,0,medium carrier (4); medium Carrier (2); carrier (2)
Penumbra 3MAX catheter,aspiration catheter,named support device,P3: track and fill when category is active,12.6,4,6,4,0,3 max (4); 3Max (2)
Chikai microwire,microwire,named support device,P3: track and fill when category is active,12.4,4,4,2,2,Chikai (4)
Penumbra RED aspiration catheter,aspiration catheter,named support device,P3: track and fill when category is active,10.6,3,16,0,3,Red 72 (6); Red43 (4); Red 62 (2); Red 43 (1); red 62 (1); red 43 (1); Red62 (1)
WEB intrasaccular embolization device,intrasaccular device,named therapeutic device,P4: low-frequency mention,10.3,2,3,1,1,WEB embolization (1); WEB EMBOLIZATION (1); web device (1)
XACT carotid stent,carotid stent,named therapeutic device,P4: low-frequency mention,10.2,2,2,2,0,XACT (1); Xact (1)
Asahi microwire/guidewire,microwire,named support device,P4: low-frequency mention,6.2,2,2,1,1,Asahi (2)
Ballast guide catheter,guide catheter,named support device,P4: low-frequency mention,6.2,2,2,1,1,ballast (1); Ballast (1)
CereGlide catheter,intermediate catheter,named support device,P4: low-frequency mention,6.2,2,2,0,2,Cereglide 71 (1); Cereglide 92 (1)
VIA microcatheter,microcatheter,named support device,P4: low-frequency mention,6.2,2,2,0,2,Via 17 (1); Via 27 (1)
Kaneka i-ED coils,coil,named therapeutic device,P4: low-frequency mention,5.4,1,4,0,1,Kaneka i-ED (4)
Axium coils,coil,named therapeutic device,P4: low-frequency mention,5.1,1,1,0,1,Axium (1)
LVIS stent,intracranial stent,named therapeutic device,P4: low-frequency mention,5.1,1,1,1,0,Lvis EVO (1)
Gateway balloon,angioplasty balloon,named therapeutic/support device,P4: low-frequency mention,4.2,1,2,0,1,Gateway balloon (2)
Headhunter catheter,diagnostic catheter,named support device,P4: low-frequency mention,3.1,1,1,1,0,headhunter catheter (1)
InnerGlide insert catheter,insert catheter,named support device,P4: low-frequency mention,3.1,1,1,0,1,Innerglide (1)
Mirage microwire,microwire,named support device,P4: low-frequency mention,3.1,1,1,1,0,Mirage (1)
Terumo Slender / radial sheath,sheath/access,access supply,"Track: access/closure supply, not first catalog priority",98.5,96,141,49,47,radial sheath (87); slender sheath (54)
TR Band,closure,access supply,"Track: access/closure supply, not first catalog priority",88.5,86,111,50,36,TR band (110); TR Band (1)
Femoral/groin sheath,sheath/access,access supply,"Track: access/closure supply, not first catalog priority",83.5,81,86,76,5,groin sheath (70); femoral sheath (9); femoral venous sheath (7)
Angio-Seal closure device,closure,access supply,"Track: access/closure supply, not first catalog priority",60.5,58,61,37,21,AngioSeal (27); Angioseal (23); angioseal (11)
Perclose closure device,closure,access supply,"Track: access/closure supply, not first catalog priority",25.3,23,23,18,5,Perclose (23)
